open_time,regime,longs,shorts,pnl_bps
2026-05-29 00:00:00+00:00,side,"HYPEUSDT,SEIUSDT,XLMUSDT","BCHUSDT,MEUSDT,XMRUSDT",9.647
2026-05-29 04:00:00+00:00,side,"FETUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEUSDT,XMRUSDT",-5.078
2026-05-29 08:00:00+00:00,side,"ASTERUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEUSDT,RSRUSDT",34.524
2026-05-29 12:00:00+00:00,side,"HYPEUSDT,RUNEUSDT,XLMUSDT","MEUSDT,STXUSDT,SUPERUSDT",153.361
2026-05-29 16:00:00+00:00,side,"FETUSDT,HYPEUSDT,XLMUSDT","BERAUSDT,IPUSDT,MEUSDT",425.448
2026-05-29 20:00:00+00:00,side,"CCUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEUSDT,SYRUPUSDT",129.854
2026-05-30 00:00:00+00:00,side,"HYPEUSDT,POLYXUSDT,XLMUSDT","BCHUSDT,MEUSDT,SYRUPUSDT",343.985
2026-05-30 04:00:00+00:00,side,"HYPEUSDT,RUNEUSDT,XLMUSDT","BCHUSDT,MEMEUSDT,SYRUPUSDT",-286.396
2026-05-30 08:00:00+00:00,side,"FETUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEMEUSDT,TNSRUSDT",115.473
2026-05-30 12:00:00+00:00,side,"ALGOUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEMEUSDT,ZORAUSDT",-73.277
2026-05-30 16:00:00+00:00,side,"HYPEUSDT,RUNEUSDT,XLMUSDT","ASTERUSDT,BCHUSDT,MEMEUSDT",-28.69
