composite,fire_pct,n,raw4,mkt4,idio4,hit_raw4,plc_time,plc_expmatch,raw24,mkt24,idio24,hit_raw24
O1,6.7,1994,4.81,5.73,-0.92,53.9,61.0,64.0,44.81,33.48,11.34,55.9
O2,8.0,2378,-6.51,-6.47,-0.04,49.9,18.0,16.0,6.53,-21.1,27.63,49.7
O3,3.2,954,4.74,12.32,-7.59,57.0,90.0,90.0,-20.8,-9.81,-10.99,47.3
O4,23.6,7002,0.72,0.79,-0.06,52.4,12.0,12.0,34.44,21.29,13.15,55.2
O5,30.9,9145,0.15,-1.08,1.23,51.0,66.0,100.0,23.19,3.81,19.38,51.5
P1,25.1,7430,0.72,-2.47,3.2,50.9,68.0,100.0,-10.87,-12.95,2.08,49.6
P2,67.1,19865,1.06,1.65,-0.59,52.7,86.0,100.0,6.53,-3.72,10.25,51.8
V1,13.7,4050,-0.92,8.41,-9.32,54.9,39.0,0.0,-2.85,5.44,-8.29,52.3
V2,39.0,11547,-3.35,-6.79,3.43,49.9,1.0,0.0,1.32,-17.29,18.62,51.3
V3,22.8,6741,5.19,-0.78,5.96,51.7,96.0,100.0,11.12,-2.81,13.93,52.1
V4,21.9,6480,9.06,6.02,3.04,49.7,100.0,100.0,33.69,24.32,9.37,53.1
R1,11.4,3376,0.02,-0.97,0.99,50.4,46.0,45.0,-24.65,-12.03,-12.61,49.3
R2,13.7,4050,0.92,-8.41,9.32,44.5,64.0,100.0,2.85,-5.44,8.29,47.5
