symbol,sum,count,semi_meme
BIOUSDT,1841.6294,19,True
VVVUSDT,1095.1909,15,True
ZECUSDT,967.3503,23,False
ICPUSDT,785.7893,15,False
PUMPUSDT,529.51294,5,True
VIRTUALUSDT,504.38342,11,True
WLDUSDT,321.24973,7,False
TRUMPUSDT,284.1345,8,True
FARTCOINUSDT,159.37537,2,True
INJUSDT,95.90718,1,False
FILUSDT,88.79636,10,False
AVAXUSDT,58.313293,2,False
PAXGUSDT,50.843754,9,False
TONUSDT,36.378235,5,False
PENDLEUSDT,36.27172,3,False
APTUSDT,28.502895,1,False
ENAUSDT,28.069359,1,False
BNBUSDT,27.227852,1,False
HYPEUSDT,24.30176,1,False
JUPUSDT,23.926517,1,False
OPUSDT,3.9521115,1,False
ATOMUSDT,-2.7920227,3,False
ETHUSDT,-3.1101534,1,False
LTCUSDT,-5.5987225,1,False
SPXUSDT,-6.786828,4,True
AAVEUSDT,-13.951449,1,False
ASTERUSDT,-19.716545,3,False
JTOUSDT,-65.48072,1,False
TAOUSDT,-102.42021,3,False
STRKUSDT,-204.15306,5,False
