fold,feature,coef,alpha
1,return_1d_sq,0.011371447872166866,10000.0
1,corr_to_btc_1d_sq,0.010857880922801313,10000.0
1,beta_to_btc_change_5d_sq,0.00816816595290132,10000.0
1,dom_btc_change_288b_sq,0.007909584594589491,10000.0
1,corr_to_btc_change_3d_sq,0.002133050479101591,10000.0
1,corr_to_btc_1d,-0.008359288289736998,10000.0
1,corr_to_btc_change_3d,0.012011982456666803,10000.0
1,beta_to_btc_change_5d,0.01033951170561669,10000.0
1,dom_btc_z_1d,-0.017905731155206092,10000.0
2,return_1d_sq,0.009166694300041158,10000.0
2,corr_to_btc_1d_sq,0.0043250822931759116,10000.0
2,beta_to_btc_change_5d_sq,-0.0008422097537907625,10000.0
2,dom_btc_change_288b_sq,-0.0011870189825835317,10000.0
2,corr_to_btc_change_3d_sq,0.0004976569755169536,10000.0
2,corr_to_btc_1d,0.0011118457738052596,10000.0
2,corr_to_btc_change_3d,0.0048569538774845405,10000.0
2,beta_to_btc_change_5d,0.007440356533630045,10000.0
2,dom_btc_z_1d,-0.014137524821878604,10000.0
3,return_1d_sq,0.035687312230025615,1000.0
3,corr_to_btc_1d_sq,0.012723746949099474,1000.0
3,beta_to_btc_change_5d_sq,-0.005433820457616853,1000.0
3,dom_btc_change_288b_sq,-0.01555034158592037,1000.0
3,corr_to_btc_change_3d_sq,0.008650994429899098,1000.0
3,corr_to_btc_1d,0.014527726220840309,1000.0
3,corr_to_btc_change_3d,0.005405534419831097,1000.0
3,beta_to_btc_change_5d,0.009699328375667072,1000.0
3,dom_btc_z_1d,-0.012805060488967693,1000.0
4,return_1d_sq,0.0395529774190916,1000.0
4,corr_to_btc_1d_sq,0.016421648183154558,1000.0
4,beta_to_btc_change_5d_sq,-0.009043738914375314,1000.0
4,dom_btc_change_288b_sq,-0.017711778801540748,1000.0
4,corr_to_btc_change_3d_sq,0.0046527622740558435,1000.0
4,corr_to_btc_1d,0.00967524188357721,1000.0
4,corr_to_btc_change_3d,0.011547744470956349,1000.0
4,beta_to_btc_change_5d,0.011609700951198468,1000.0
4,dom_btc_z_1d,-0.006968661568517341,1000.0
5,return_1d_sq,0.07100122200676107,100.0
5,corr_to_btc_1d_sq,0.03535273332549216,100.0
5,beta_to_btc_change_5d_sq,-0.013905968657641245,100.0
5,dom_btc_change_288b_sq,-0.03807603276470761,100.0
5,corr_to_btc_change_3d_sq,-0.0017921497144413046,100.0
5,corr_to_btc_1d,0.007251699816566148,100.0
5,corr_to_btc_change_3d,0.010793736034875323,100.0
5,beta_to_btc_change_5d,0.02176515874309204,100.0
5,dom_btc_z_1d,-0.004701119880777815,100.0
6,return_1d_sq,0.04751527266795567,1000.0
6,corr_to_btc_1d_sq,0.025186671069822114,1000.0
6,beta_to_btc_change_5d_sq,-0.0058736813610349575,1000.0
6,dom_btc_change_288b_sq,-0.01821645375449279,1000.0
6,corr_to_btc_change_3d_sq,0.0013198034876746867,1000.0
6,corr_to_btc_1d,0.006364311567077764,1000.0
6,corr_to_btc_change_3d,0.0062699777868858095,1000.0
6,beta_to_btc_change_5d,0.0137678348206772,1000.0
6,dom_btc_z_1d,-0.004370268452106321,1000.0
7,return_1d_sq,0.05140428943351704,1000.0
7,corr_to_btc_1d_sq,0.027569213756983096,1000.0
7,beta_to_btc_change_5d_sq,-0.0021083206979448793,1000.0
7,dom_btc_change_288b_sq,-0.027700554868383506,1000.0
7,corr_to_btc_change_3d_sq,0.001859655544228997,1000.0
7,corr_to_btc_1d,0.007372196570231214,1000.0
7,corr_to_btc_change_3d,0.006658970540242731,1000.0
7,beta_to_btc_change_5d,0.013253482628749556,1000.0
7,dom_btc_z_1d,-0.004587322272177862,1000.0
8,return_1d_sq,0.056417653935126794,1000.0
8,corr_to_btc_1d_sq,0.026027379913617532,1000.0
8,beta_to_btc_change_5d_sq,-0.004239647169165306,1000.0
8,dom_btc_change_288b_sq,-0.03211718112225623,1000.0
8,corr_to_btc_change_3d_sq,0.003471475147016942,1000.0
8,corr_to_btc_1d,0.005485439422858784,1000.0
8,corr_to_btc_change_3d,0.003357081710964223,1000.0
8,beta_to_btc_change_5d,0.012551263100091442,1000.0
8,dom_btc_z_1d,-0.007024959665653113,1000.0
9,return_1d_sq,0.03615153647635365,1000.0
9,corr_to_btc_1d_sq,0.019138457540435097,1000.0
9,beta_to_btc_change_5d_sq,-0.004313430624605801,1000.0
9,dom_btc_change_288b_sq,-0.017597516840798036,1000.0
9,corr_to_btc_change_3d_sq,0.004706710651820795,1000.0
9,corr_to_btc_1d,0.00024648689398966417,1000.0
9,corr_to_btc_change_3d,0.003594228240742958,1000.0
9,beta_to_btc_change_5d,0.013756408669622334,1000.0
9,dom_btc_z_1d,-0.00962838510055454,1000.0
