universe,n_syms,train_ic,sharpe,ci_lo,ci_hi,totPnL,maxDD,folds_pos,concentration,error
C_l1_established,7,0.0002,-0.38,-2.27,1.45,-459,-1836,3/9,54%,
C_l1_newer,11,0.0071,1.14,-0.65,2.71,5168,-3306,3/9,54%,
C_defi,11,0.0114,-0.05,-2.06,1.99,-129,-3152,5/9,47%,
C_memes,6,-0.0008,0.0,0.0,0.0,0,0,0/9,0%,
C_other_alt,9,-0.0047,0.53,-1.34,2.36,1215,-1790,4/9,60%,
P_L1_all,18,0.0049,-3.1,-4.94,-1.02,-8123,-9204,1/9,100%,
P_defi_ai,14,0.0178,0.2,-1.86,2.01,646,-3272,5/9,49%,
P_majors_L1,21,0.0069,-2.82,-4.41,-0.95,-7183,-8180,1/9,100%,
P_majors_defi,14,0.0135,0.26,-1.72,2.48,712,-2888,4/9,62%,
P_majors_L1_defi,32,0.0084,-1.83,-4.07,0.27,-4613,-6077,1/9,100%,
EX_no_memes,44,0.0075,1.87,-0.47,4.12,6628,-2145,4/9,51%,
EX_no_ai,47,0.0041,-0.1,-3.1,2.46,-257,-3958,4/9,85%,
EX_no_memes_ai,41,0.0051,0.01,-2.66,2.53,15,-3620,4/9,79%,
EX_no_other_alt,41,0.0089,-0.23,-2.25,1.88,-696,-3326,4/9,76%,
EX_no_majors,47,0.0055,-0.06,-2.49,2.29,-203,-5124,4/9,52%,
